input,output,pearson,spearman,mutual information (sklearn),MIC,MAS,MEV,MCN_general
pr,evap,0.8089571143240655,0.8473565622602242,1.0652152886871962,0.5302235801675764,0.0266903073444969,0.5302235801675764,2.0
pr,potevap,0.3214771435567031,0.2345903165079479,0.4013624492518977,0.2456991473110571,0.0790034908379452,0.2456991473110571,2.0
pr,qr,0.7952665599478735,0.7111234711654458,0.5911857068853967,0.4218792059647904,0.0231132794391933,0.4218792059647904,2.0
pr,qtot,0.8771163779743891,0.7869358424630851,0.879820562807434,0.4863587351052437,0.0476789699082809,0.4863587351052437,2.0
netrad,evap,0.7209966693736516,0.649709300191275,0.539742796270489,0.4155522106962467,0.0385784874238284,0.4155522106962467,2.0
netrad,potevap,0.726219927640384,0.7621832541329677,0.7325148015642062,0.5554959773750412,0.1001170283212956,0.5554959773750412,2.0
netrad,qr,0.2808196418143708,0.1769174091469899,0.1343826294310011,0.0930417095812745,0.0132902103956255,0.0930417095812745,2.0
netrad,qtot,0.3325466689510264,0.2005543028263565,0.1834478783892494,0.1264107083012603,0.01127479539499,0.1230577909158494,2.0
