input,output,pearson,spearman,mutual information (sklearn),MIC,MAS,MEV,MCN_general
pr,evap,0.0012698738087203376,0.0012088635466833127,0.0,0.026065448654382956,0.0013371332041314243,0.026065448654382956,3.5849625007211565
pr,potevap,-0.001312370125458753,-0.0013272576602238872,0.0,0.02669796832281919,0.0008569637642873822,0.02669796832281919,3.5849625007211565
pr,qr,-0.0007539188663840792,0.001830344143953785,0.0009598003111488396,0.027273552798724447,0.00042833014721815714,0.027273552798724447,3.5849625007211565
pr,qtot,-0.0028190443463259954,0.004778776857313394,0.0,0.026876613902254515,0.0010870474324315323,0.026876613902254515,3.5849625007211565
netrad,evap,0.0007894324986411753,0.00020556027721818778,0.002474661673175227,0.025866217681672844,0.0005680427991707655,0.025866217681672844,3.5849625007211565
netrad,potevap,-0.002389448819794272,-0.0019240678548464354,0.0,0.02668230811612602,0.001052133032506751,0.02668230811612602,3.5849625007211565
netrad,qr,0.007057818896573902,0.0037489892333912147,0.0,0.026361190118115784,0.0009754121129607121,0.026361190118115784,3.5849625007211565
netrad,qtot,0.0006197712681287964,0.0009558178132709828,0.0,0.027030130577161592,0.0009066202968128316,0.027030130577161592,3.8073549220576037
