input,output,pearson,spearman,mutual information (sklearn),MIC,MAS,MEV,MCN_general
pr,evap,0.00024104412712205414,0.0031651290492768717,0.004355313491753776,0.026420781989888786,0.0013875975886764001,0.026420781989888786,3.5849625007211565
pr,potevap,-0.000803660459316469,-0.000617092655738146,0.0,0.02729450782807842,0.0008730892649740293,0.02729450782807842,3.5849625007211565
pr,qr,0.001553120441476162,0.0035624677691825034,0.0,0.02693380708764022,0.00038486571640614087,0.02693380708764022,3.5849625007211565
pr,qtot,-0.0019520848571284656,-0.004260539113856955,0.0,0.02739898864290472,0.0019817273631063045,0.02739898864290472,3.8073549220576037
netrad,evap,0.005040477932215543,0.0064539871342938985,0.004929120179823165,0.02689019401779239,0.0006269194252523924,0.02689019401779239,3.5849625007211565
netrad,potevap,0.0027383612531140453,0.0021573192399435225,0.0,0.026920538343247032,0.0012476202579268549,0.026920538343247032,3.8073549220576037
netrad,qr,0.0016225210158693206,0.0011249817616997106,0.0008474317643125673,0.02710967839799875,0.0004321826389768746,0.02710967839799875,3.5849625007211565
netrad,qtot,0.0032416896556423536,0.0021538361084607054,0.005372112461294876,0.026886975862381826,0.002130088385262359,0.026886975862381826,3.5849625007211565
